o:id,url,dcterms:identifier,o:resource_class,o:title,dcterms:description,dcterms:creator,dcterms:date,dcterms:replaces,dcterms:isReplacedBy,dcterms:spatial,dcterms:language,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:contributor
2207,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2207,iwac-collection-0000031,o:ItemSet,Le Pays,Articles provenant du journal Le Pays (1992-2021),,1992/2021,,,Burkina Faso,Français,In Copyright - Educational Use Permitted,,Institut de Recherche pour le Développement,Frédérick Madore
2209,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2209,iwac-collection-0000032,o:ItemSet,LeFaso.net,Métadonnées d'articles provenant du journal en ligne LeFaso.net (2004-2021),,2004/2021,,,Burkina Faso,Français,In Copyright,,,Frédérick Madore
2210,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2210,iwac-collection-0000033,o:ItemSet,Mutations,Articles provenant du journal Mutations (2011-2014),,2011/2014,,,Burkina Faso,Français,In Copyright - Educational Use Permitted,,,Frédérick Madore
2211,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2211,iwac-collection-0000034,o:ItemSet,Photographies (Burkina Faso),Photographies sur l'islam et les musulmans au Burkina Faso,Frédérick Madore,,,,Burkina Faso,,In Copyright - Educational Use Permitted,,,
2212,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2212,iwac-collection-0000035,o:ItemSet,Références (Burkina Faso),"Livres, chapitres de livre, comptes rendus de livres, articles de revue, thèses, mémoires et rapports sur l'islam au Burkina Faso",,,,,Burkina Faso,Allemand|Anglais|Français|Italien|Slovène,In Copyright - Educational Use Permitted,,,Frédérick Madore
2213,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2213,iwac-collection-0000036,o:ItemSet,San Finna,Articles provenant du journal San Finna (2001-2010),,2001/2010,,,Burkina Faso,Français,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,,Frédérick Madore
2214,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2214,iwac-collection-0000037,o:ItemSet,L'Observateur Paalga,Articles provenant du journal L'Observateur Paalga (1991-2021),,1991/2021,L'Observateur,,Burkina Faso,Français,In Copyright - Educational Use Permitted,L'Observateur Paalga,,Frédérick Madore
2215,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2215,iwac-collection-0000038,o:ItemSet,L'Observateur,Articles provenant du journal L'Observateur (1979-1984),,1979/1984,,L'Observateur Paalga,Burkina Faso,Français,In Copyright - Educational Use Permitted,L'Observateur Paalga,Institut de Recherche pour le Développement,Frédérick Madore
2216,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2216,iwac-collection-0000039,o:ItemSet,Photographies (Côte d’Ivoire),Photographies sur l'islam et les musulmans en Côte d'Ivoire,Frédérick Madore,,,,Côte d'Ivoire,,In Copyright - Educational Use Permitted,,,
2217,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2217,iwac-collection-0000040,o:ItemSet,Références (Côte d'Ivoire),"Livres, chapitres de livre, articles de revue, thèses et mémoires sur l'islam en Côte d'Ivoire",,,,,Côte d'Ivoire,Anglais|Français,In Copyright - Educational Use Permitted,,,Frédérick Madore
